,dataset,date,value
0,Employment rate aged 16-24,1971,71.8
1,Employment rate aged 16-24,1972,72.0
2,Employment rate aged 16-24,1973,72.9
3,Employment rate aged 16-24,1974,73.0
4,Employment rate aged 16-24,1975,72.6
5,Employment rate aged 16-24,1976,71.9
6,Employment rate aged 16-24,1977,71.6
7,Employment rate aged 16-24,1978,71.6
8,Employment rate aged 16-24,1979,71.8
9,Employment rate aged 16-24,1980,70.8
10,Employment rate aged 16-24,1981,68.5
11,Employment rate aged 16-24,1982,66.8
12,Employment rate aged 16-24,1983,65.9
13,Employment rate aged 16-24,1984,66.8
14,Employment rate aged 16-24,1985,67.4
15,Employment rate aged 16-24,1986,67.7
16,Employment rate aged 16-24,1987,68.8
17,Employment rate aged 16-24,1988,70.9
18,Employment rate aged 16-24,1989,72.5
19,Employment rate aged 16-24,1990,72.7
20,Employment rate aged 16-24,1991,70.7
21,Employment rate aged 16-24,1992,69.0
22,Employment rate aged 16-24,1993,68.4
23,Employment rate aged 16-24,1994,68.9
24,Employment rate aged 16-24,1995,69.5
25,Employment rate aged 16-24,1996,70.0
26,Employment rate aged 16-24,1997,71.0
27,Employment rate aged 16-24,1998,71.5
28,Employment rate aged 16-24,1999,72.1
29,Employment rate aged 16-24,2000,72.5
30,Employment rate aged 16-24,2001,72.6
31,Employment rate aged 16-24,2002,72.7
32,Employment rate aged 16-24,2003,72.8
33,Employment rate aged 16-24,2004,72.9
34,Employment rate aged 16-24,2005,72.9
35,Employment rate aged 16-24,2006,72.8
36,Employment rate aged 16-24,2007,72.7
37,Employment rate aged 16-24,2008,72.6
38,Employment rate aged 16-24,2009,70.9
39,Employment rate aged 16-24,2010,70.4
40,Employment rate aged 16-24,2011,70.3
41,Employment rate aged 16-24,2012,71.0
42,Employment rate aged 16-24,2013,71.5
43,Employment rate aged 16-24,2014,72.8
44,Employment rate aged 16-24,2015,73.6
45,Employment rate aged 16-24,2016,74.2
46,Employment rate aged 16-24,2017,74.8
47,Employment rate aged 16-24,2018,75.4
48,Employment rate aged 16-24,2019,75.8
49,Employment rate aged 16-24,2020,75.0
50,Employment rate aged 16-24,2021,74.7
51,Employment rate aged 16-24,2022,75.1
52,Employment rate aged 16-24,2023,75.1
53,Female employment rate,1971,52.7
54,Female employment rate,1972,53.2
55,Female employment rate,1973,54.6
56,Female employment rate,1974,55.4
57,Female employment rate,1975,55.6
58,Female employment rate,1976,55.3
59,Female employment rate,1977,55.4
60,Female employment rate,1978,55.9
61,Female employment rate,1979,56.6
62,Female employment rate,1980,56.7
63,Female employment rate,1981,55.6
64,Female employment rate,1982,54.6
65,Female employment rate,1983,54.2
66,Female employment rate,1984,55.5
67,Female employment rate,1985,56.6
68,Female employment rate,1986,57.6
69,Female employment rate,1987,59.0
70,Female employment rate,1988,61.0
71,Female employment rate,1989,62.8
72,Female employment rate,1990,63.3
73,Female employment rate,1991,62.5
74,Female employment rate,1992,61.8
75,Female employment rate,1993,61.8
76,Female employment rate,1994,62.2
77,Female employment rate,1995,62.8
78,Female employment rate,1996,63.5
79,Female employment rate,1997,64.2
80,Female employment rate,1998,64.7
81,Female employment rate,1999,65.3
82,Female employment rate,2000,65.9
83,Female employment rate,2001,66.1
84,Female employment rate,2002,66.3
85,Female employment rate,2003,66.4
86,Female employment rate,2004,66.7
87,Female employment rate,2005,66.8
88,Female employment rate,2006,66.9
89,Female employment rate,2007,66.6
90,Female employment rate,2008,66.8
91,Female employment rate,2009,65.9
92,Female employment rate,2010,65.5
93,Female employment rate,2011,65.4
94,Female employment rate,2012,65.9
95,Female employment rate,2013,66.7
96,Female employment rate,2014,68.0
97,Female employment rate,2015,68.8
98,Female employment rate,2016,69.5
99,Female employment rate,2017,70.4
100,Female employment rate,2018,71.0
101,Female employment rate,2019,71.8
102,Female employment rate,2020,71.6
103,Female employment rate,2021,71.7
104,Female employment rate,2022,71.9
105,Female employment rate,2023,71.9
106,Male employment rate,1971,91.4
107,Male employment rate,1972,91.1
108,Male employment rate,1973,91.7
109,Male employment rate,1974,90.9
110,Male employment rate,1975,89.9
111,Male employment rate,1976,88.8
112,Male employment rate,1977,88.0
113,Male employment rate,1978,87.4
114,Male employment rate,1979,87.1
115,Male employment rate,1980,85.2
116,Male employment rate,1981,81.5
117,Male employment rate,1982,79.1
118,Male employment rate,1983,77.7
119,Male employment rate,1984,78.2
120,Male employment rate,1985,78.2
121,Male employment rate,1986,77.9
122,Male employment rate,1987,78.7
123,Male employment rate,1988,80.8
124,Male employment rate,1989,82.3
125,Male employment rate,1990,82.1
126,Male employment rate,1991,79.0
127,Male employment rate,1992,76.2
128,Male employment rate,1993,75.1
129,Male employment rate,1994,75.7
130,Male employment rate,1995,76.4
131,Male employment rate,1996,76.7
132,Male employment rate,1997,77.9
133,Male employment rate,1998,78.4
134,Male employment rate,1999,78.8
135,Male employment rate,2000,79.2
136,Male employment rate,2001,79.2
137,Male employment rate,2002,79.1
138,Male employment rate,2003,79.2
139,Male employment rate,2004,79.3
140,Male employment rate,2005,79.2
141,Male employment rate,2006,78.9
142,Male employment rate,2007,78.9
143,Male employment rate,2008,78.6
144,Male employment rate,2009,76.0
145,Male employment rate,2010,75.5
146,Male employment rate,2011,75.3
147,Male employment rate,2012,76.1
148,Male employment rate,2013,76.4
149,Male employment rate,2014,77.8
150,Male employment rate,2015,78.4
151,Male employment rate,2016,79.1
152,Male employment rate,2017,79.3
153,Male employment rate,2018,79.9
154,Male employment rate,2019,80.0
155,Male employment rate,2020,78.5
156,Male employment rate,2021,77.8
157,Male employment rate,2022,78.4
158,Male employment rate,2023,78.4
159,Average actual weekly hours worked for full time employees,1992,38.1
160,Average actual weekly hours worked for full time employees,1993,38.2
161,Average actual weekly hours worked for full time employees,1994,38.5
162,Average actual weekly hours worked for full time employees,1995,38.5
163,Average actual weekly hours worked for full time employees,1996,38.7
164,Average actual weekly hours worked for full time employees,1997,38.6
165,Average actual weekly hours worked for full time employees,1998,38.5
166,Average actual weekly hours worked for full time employees,1999,38.2
167,Average actual weekly hours worked for full time employees,2000,37.9
168,Average actual weekly hours worked for full time employees,2001,37.9
169,Average actual weekly hours worked for full time employees,2002,37.5
170,Average actual weekly hours worked for full time employees,2003,37.4
171,Average actual weekly hours worked for full time employees,2004,37.3
172,Average actual weekly hours worked for full time employees,2005,37.3
173,Average actual weekly hours worked for full time employees,2006,37.2
174,Average actual weekly hours worked for full time employees,2007,37.2
175,Average actual weekly hours worked for full time employees,2008,37.1
176,Average actual weekly hours worked for full time employees,2009,36.8
177,Average actual weekly hours worked for full time employees,2010,37.1
178,Average actual weekly hours worked for full time employees,2011,37.0
179,Average actual weekly hours worked for full time employees,2012,37.4
180,Average actual weekly hours worked for full time employees,2013,37.5
181,Average actual weekly hours worked for full time employees,2014,37.6
182,Average actual weekly hours worked for full time employees,2015,37.5
183,Average actual weekly hours worked for full time employees,2016,37.5
184,Average actual weekly hours worked for full time employees,2017,37.4
185,Average actual weekly hours worked for full time employees,2018,37.1
186,Average actual weekly hours worked for full time employees,2019,37.2
187,Average actual weekly hours worked for full time employees,2020,33.6
188,Average actual weekly hours worked for full time employees,2021,35.5
189,Average actual weekly hours worked for full time employees,2022,36.4
190,Average actual weekly hours worked for full time employees,2023,36.4
191,Seasonally adjusted regular pay,2000,296
192,Seasonally adjusted regular pay,2001,311
193,Seasonally adjusted regular pay,2002,323
194,Seasonally adjusted regular pay,2003,334
195,Seasonally adjusted regular pay,2004,346
196,Seasonally adjusted regular pay,2005,360
197,Seasonally adjusted regular pay,2006,374
198,Seasonally adjusted regular pay,2007,390
199,Seasonally adjusted regular pay,2008,405
200,Seasonally adjusted regular pay,2009,412
201,Seasonally adjusted regular pay,2010,420
202,Seasonally adjusted regular pay,2011,427
203,Seasonally adjusted regular pay,2012,434
204,Seasonally adjusted regular pay,2013,438
205,Seasonally adjusted regular pay,2014,443
206,Seasonally adjusted regular pay,2015,453
207,Seasonally adjusted regular pay,2016,464
208,Seasonally adjusted regular pay,2017,474
209,Seasonally adjusted regular pay,2018,488
210,Seasonally adjusted regular pay,2019,505
211,Seasonally adjusted regular pay,2020,516
212,Seasonally adjusted regular pay,2021,542
213,Seasonally adjusted regular pay,2022,572
214,Seasonally adjusted regular pay,2023,612
215,Temporary Employees could not find permanent job,1992,36.6
216,Temporary Employees could not find permanent job,1993,41.4
217,Temporary Employees could not find permanent job,1994,42.8
218,Temporary Employees could not find permanent job,1995,42.6
219,Temporary Employees could not find permanent job,1996,40.5
220,Temporary Employees could not find permanent job,1997,37.8
221,Temporary Employees could not find permanent job,1998,35.1
222,Temporary Employees could not find permanent job,1999,34.9
223,Temporary Employees could not find permanent job,2000,29.8
224,Temporary Employees could not find permanent job,2001,26.3
225,Temporary Employees could not find permanent job,2002,26.7
226,Temporary Employees could not find permanent job,2003,26.3
227,Temporary Employees could not find permanent job,2004,25.5
228,Temporary Employees could not find permanent job,2005,25.1
229,Temporary Employees could not find permanent job,2006,25.4
230,Temporary Employees could not find permanent job,2007,26.5
231,Temporary Employees could not find permanent job,2008,25.8
232,Temporary Employees could not find permanent job,2009,31.6
233,Temporary Employees could not find permanent job,2010,36.5
234,Temporary Employees could not find permanent job,2011,37.8
235,Temporary Employees could not find permanent job,2012,39.8
236,Temporary Employees could not find permanent job,2013,38.4
237,Temporary Employees could not find permanent job,2014,35.3
238,Temporary Employees could not find permanent job,2015,34.3
239,Temporary Employees could not find permanent job,2016,31.2
240,Temporary Employees could not find permanent job,2017,28.0
